What do you prefer for on-demand availability in the BYU Entrepreneurial Management program? (check all that apply),What is the most that you would be willing to pay (in dollars) for a fresh cupcake delivered to 240 TNRB before class? - 1,How many cupcakes would you buy per week if the price were equal to the willingness to pay you reported above? - 0.00,How far do you commute to class?,How would you rate your sweet tooth? - Which best describes your relationship with sweets?,What is the most fulfilling sweet you have ever had and why?,What food restrictions do you have?  Would you be interested specialty pastries that are gluten free? dairy free? nut free? lectin free?  Any combination of these?,What is your gender?,What is your age?
Kolaches,1,2,1mile,"Prefer fruits, vegetables or nuts",Rich chocolate mousse,none,Male,18-25
Cupcakes,1.35,4,1 mile,Life or death,strawberry belt,none,Male,18-25
Bagels,0,0,15 minutes,Avoid sweets at all costs,'Honey Mamas' Chocolate because it has no added sugar and is dairy and gluten free, I would prefer pastries that are dairy and gluten free. I generally try to avoid these foods,Male,18-25
Bagels,0.83,1,10 mins,"Prefer fruits, vegetables or nuts",Cinnamon roll,Dairy,Male,26-30
"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Kolaches,Other",1,2,20 minute walk,Take it or leave it,Peaches and Cream,NA,Female,18-25
"Donuts,Cinnamon Rolls,Bagels,Cookies,Kolaches",1.35,2,10 minutes,Would choose sweets when available,The best sweet I have ever tasted is a home made cinnamon roll fresh from the oven. Or a fruit pizza.,none,Male,18-25
Cupcakes,0.75,2,20 min walk,"Prefer fruits, vegetables or nuts",Fruit smoothie,none,Male,18-25
"Bagels,Kolaches",0.49,2,25 min,Take it or leave it,"A passionfruit cheesecake slice with my wife, because it's a fun moment we get to share together and seeing her smile makes me smile.",N/A,Male,26-30
Other,0.17,0,15 miles,Life or death,"Gas station sweets, They are not the very best but they are consistently good",no restrictions,Male,18-25
"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Cookies",2.96,2,10 minutes,Life or death,Pie or cake,none,Female,18-25
"Donuts,Cinnamon Rolls,Cookies",1.97,1,15,Would choose sweets when available,I love texas sheet cake ,no,Male,18-25
"Donuts,Bagels,Cookies,Kolaches",1,1,15 minute walk ,"Prefer fruits, vegetables or nuts",A warm slice of chocolate chip pumpkin bread. ,none.,Female,18-25
"Cupcakes,Kolaches",1.38,2,about a mile,Would choose sweets when available,87% dark chocolate gelato,no. ,Female,18-25
"Cinnamon Rolls,Bagels,Cookies,Kolaches",1.51,1,8 minute drive,Would choose sweets when available,A big (salted) cookie with ice cream. Because I love both cookies and ice cream and I love salty and sweet together.,I do not have any food restrictions,Female,18-25
"Donuts,Kolaches",0.75,1,10 min,Take it or leave it,chocolate cheese cake or a reeses fastbreak or a dessert kolache ,,Male,18-25
"Cupcakes,Cinnamon Rolls,Bagels,Cookies,Kolaches",1,2,25 Minutes,Would choose sweets when available,"Brownies and Ice Cream
",N/A,Male,18-25
"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Cookies,Kolaches",2,3,10 minutes,Would choose sweets when available,"Italian gelato, because there are so many flavors available, it's refreshing without being too heavy, and I can eat a lot or a little and still be satisfied.",None,Female,18-25
"Donuts,Cinnamon Rolls,Bagels,Cookies,Kolaches",0.49,1,15 min walk,"Prefer fruits, vegetables or nuts",Those sour air head balls. Super sour then it's gone. I like the taste and not having a whole lot of it.,NA,Male,18-25
Kolaches,2.23,4,10 min,Would choose sweets when available,"churros in a long bag, relatively easy to eat compared to donuts (geometry fits in my mouth better).",None,Male,18-25
