StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q46,Q125,Q47,Q48,Q49,Q49_5_TEXT,Q50,Q50_5_TEXT,Q51,Q51_5_TEXT,Q52,Q52_3_TEXT,Q65_1,Q65_2,Q65_3,Q2_1,Q9_1,Q121_1,Q122_1,Q123_1,Q124_1,Q70,Q43,Q66,Q67,Q68,Q69,Q71,Q72,Q73,Q74,Q74_4_TEXT,Q75,Q76,Q76_4_TEXT,Q77,Q77_11_TEXT
8/18/19 13:43,8/18/19 13:45,IP Address,107.77.202.102,100,106,TRUE,8/18/19 13:45,R_30iz7IgZVzg3ETh,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Coke,,1,3,2,2,50,40,30,20,10,Male,18 - 24 years old,180,Some college credit,Married or domestic partnership,White,"$50,000 - $74,999",Average,Average,,,Never,,,,
8/18/19 13:45,8/18/19 13:46,IP Address,107.77.202.102,100,74,TRUE,8/18/19 13:46,R_0e7qeOtnDKzsdGN,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Coke,,,,,1.51,25,21,21,0,0,Female,18 - 24 years old,140,Some college credit,Married or domestic partnership,White,"$35,000 - $49,999",Average,Average,56 grams a day (normal for the average man),,Never,,,,
8/18/19 16:40,8/18/19 16:42,IP Address,107.77.202.102,100,93,TRUE,8/18/19 16:42,R_29oDX6XGKTiwu03,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Gym,,Yes,2-3 times a week,30min - 60min,,,,Neither,,Other:,Lemonade,3,2,1,1.51,20,20,20,0,0,Female,25 - 34 years old,167,Associate's Degree,Married or domestic partnership,Hispanic or Latino,"$50,000 - $74,999",Average,Average,56 grams a day (normal for the average man),,Never,,,,
8/18/19 18:38,8/18/19 18:40,IP Address,73.171.69.156,100,109,TRUE,8/18/19 18:40,R_1ozqZ1UJrjQLRPP,,,,,39.15010071,-78.26899719,anonymous,EN,Yes,Gym,,Yes,4-6 times a week,60min - 90min,,,,Both,,Pepsi,,3,1,2,1.01,30,30,15,5,0,Male,35 - 44 years old,178,Master's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Average,Average,56 grams a day (normal for the average man),,Sometimes,"Buy a shake,Make a shake,Ingest pills",,"Calcium,Fish Oil,Iron,Multivitamins",
8/18/19 18:40,8/18/19 18:43,IP Address,107.77.202.102,100,161,TRUE,8/18/19 18:43,R_SN1G7Rn8THtdzkR,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Both,Gym,Yes,2-3 times a week,,,90min - 120min,,Neither,,Pepsi,,2,1,3,2.5,60,60,50,30,30,Male,18 - 24 years old,155.5,Some college credit,"Single, never married",Black or African American,"$35,000 - $49,999",Average,Average,,,Sometimes,Make a shake,,Multivitamins,
8/18/19 18:43,8/18/19 18:45,IP Address,107.77.202.102,100,125,TRUE,8/18/19 18:45,R_6PglJQrCUIafhLj,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Pepsi,,2,1,3,1.99,15,15,15,10,0,Male,25 - 34 years old,165,Bachelor's Degree,Married or domestic partnership,Hispanic or Latino,"$75,000 - $99,999",Average,Average,More than 56 grams a day,,About half the time,Ingest pills,,"B Vitamins,Vitamin C,Vitamin D",
8/18/19 18:45,8/18/19 18:47,IP Address,107.77.202.102,100,114,TRUE,8/18/19 18:47,R_2BzaP2j7dSLylYA,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Coke,,,,,1.51,25,20,15,10,5,Female,25 - 34 years old,147.8,Bachelor's Degree,Married or domestic partnership,Hispanic or Latino,"$50,000 - $74,999",Average,Average,Less than 56 grams a day,,Sometimes,Ingest pills,,"Coenzyme Q10,Fish Oil,Multivitamins",
8/18/19 18:54,8/18/19 18:55,IP Address,107.77.202.102,100,72,TRUE,8/18/19 18:55,R_3eyofWF3RpQtVK1,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Other:,Water or Gatorade,3,2,1,0,0,0,0,0,0,Female,18 - 24 years old,139.8,Some college credit,"Single, never married",Asian / Pacific Islander,"$25,000 - $34,999",Slightly below average,Slightly below average,,,Never,,,,
8/18/19 18:55,8/18/19 18:57,IP Address,107.77.202.102,100,107,TRUE,8/18/19 18:57,R_2xVERu6xFsVbWXS,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Other:,Dr Pepper,2,3,1,0.75,20,0,0,0,0,Male,18 - 24 years old,137.9,Some college credit,"Single, never married",White,"$25,000 - $34,999",Moderately below average,Far below average,,,Sometimes,Ingest pills,,Multivitamins,
8/18/19 18:57,8/18/19 18:59,IP Address,107.77.202.102,100,131,TRUE,8/18/19 18:59,R_vdB3GTO4eddLP9L,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Gym,,Yes,Daily,90min - 120min,,,,Both,,Coke,,,,,3.51,60,60,60,60,60,Male,25 - 34 years old,174.7,Bachelor's Degree,Married or domestic partnership,Black or African American,"$75,000 - $99,999",Slightly below average,Moderately below average,More than 56 grams a day,,About half the time,Make a shake,,"B Vitamins,Fish Oil,Multivitamins",
8/18/19 18:59,8/18/19 19:01,IP Address,107.77.202.102,100,106,TRUE,8/18/19 19:01,R_30pf1MKc7mI4T3u,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Gym,,Yes,Once a week,30min - 60min,,,,Neither,,Other:,Gatorade,2,3,1,1.01,20,15,5,0,0,Female,18 - 24 years old,139.6,Some college credit,"Single, never married",White,"$25,000 - $34,999",Average,Average,,,Never,,,,
8/18/19 19:01,8/18/19 19:02,IP Address,107.77.202.102,100,50,TRUE,8/18/19 19:02,R_2B349LdKdZdVyiH,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Pepsi,,2,1,3,0,0,0,0,0,0,Male,18 - 24 years old,158.5,Some college credit,"Single, never married",White,"$35,000 - $49,999",Far below average,Far below average,,,Never,,,,
8/18/19 21:27,8/18/19 21:29,IP Address,107.77.202.102,100,89,TRUE,8/18/19 21:29,R_3RcQLVR0ZWaiW1H,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Exercise via other methods,,,,,,60min - 90min,,,,Other:,Water,2,3,1,1.51,35,30,15,10,0,Female,35 - 44 years old,200,"High school graduate, diploma or the equivalent (for example: GED)",Married or domestic partnership,White,"$50,000 - $74,999",Average,Average,,,Never,,,,
8/18/19 21:29,8/18/19 21:31,IP Address,107.77.202.102,100,111,TRUE,8/18/19 21:31,R_1DGVzWklvXi6o6z,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Both,Exercise via other methods,Yes,Twice per month,,,30min - 60min,,Other:,I don’t know,Coke,,,,,2,15,15,15,15,0,Male,18 - 24 years old,169,Bachelor's Degree,"Single, never married",White,"$75,000 - $99,999",Average,Average,56 grams a day (normal for the average man),,Sometimes,Ingest pills,,Multivitamins,
8/18/19 21:31,8/18/19 21:32,IP Address,107.77.202.102,100,87,TRUE,8/18/19 21:32,R_BMwVB5YO0ZDkJ69,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Gym,,Yes,2-3 times a week,30min - 60min,,,,Both,,Coke,,,,,2.76,20,20,15,15,5,Male,18 - 24 years old,186,Some college credit,"Single, never married",White,"$35,000 - $49,999",Average,Average,56 grams a day (normal for the average man),,Never,,,,
8/18/19 21:33,8/18/19 21:33,IP Address,107.77.202.102,100,52,TRUE,8/18/19 21:33,R_2CNWwYjN2wIWppH,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Coke,,,,,0,0,0,0,0,0,Female,25 - 34 years old,173,"High school graduate, diploma or the equivalent (for example: GED)",Married or domestic partnership,Hispanic or Latino,"$50,000 - $74,999",Average,Average,,,Never,,,,
8/18/19 21:33,8/18/19 21:34,IP Address,107.77.202.102,100,52,TRUE,8/18/19 21:34,R_20VDlRTqRetJ78d,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Pepsi,,2,1,3,0,0,0,0,0,0,Male,25 - 34 years old,197,Associate's Degree,Married or domestic partnership,Hispanic or Latino,"$50,000 - $74,999",Average,Average,,,Sometimes,Ingest pills,,Multivitamins,
8/19/19 19:24,8/19/19 19:32,Survey Preview,,100,538,TRUE,8/19/19 19:32,R_2TvkZzoA1jHN9hi,,,,,41.19189453,-111.947403,preview,EN,Yes,Both,Gym,Yes,4-6 times a week,,,30min - 60min,,Neither,,Other:,Rockstar ,2,3,1,1.99,10,10,10,10,0,Male,25 - 34 years old,275,Associate's Degree,"Single, never married",White,"$25,000 - $34,999",Slightly above average,Moderately above average,More than 56 grams a day,,Sometimes,Other:,Ready to go cans,"Fish Oil,Other:",Creatine
8/19/19 19:57,8/19/19 20:03,Survey Preview,,100,322,TRUE,8/19/19 20:03,R_2w0ufnTeB7c9pse,,,,,40.6750946,-111.816597,preview,EN,Yes,Exercise via other methods,,,,,,15min - 30min,,,,Other:,Dr pepper,2,3,1,1.11,5,5,0,0,0,Male,35 - 44 years old,202,Master's Degree,Married or domestic partnership,White,"$50,000 - $74,999",Average,Slightly above average,56 grams a day (normal for the average man),,Never,,,,
8/19/19 20:09,8/19/19 20:12,Survey Preview,,100,206,TRUE,8/19/19 20:12,R_BM9qyxmnhOmZkcN,,,,,34.09640503,-117.9682007,preview,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Other:,Chocolate Milk,2,3,1,0,0,0,0,0,0,Male,25 - 34 years old,170,Bachelor's Degree,Married or domestic partnership,White,"$35,000 - $49,999",Average,Average,More than 56 grams a day,,Sometimes,Other:,Chocolate Milk protein shakes,"Fish Oil,Multivitamins,Vitamin C,Vitamin D",
8/19/19 20:29,8/19/19 20:35,Survey Preview,,100,364,TRUE,8/19/19 20:35,R_yKn9Hk7Q8o3zXXj,,,,,40.51530457,-112.031601,preview,EN,Yes,Both,Exercise via other methods,No,2-3 times a week,,,60min - 90min,,Other:,Bai,Other:,Chocolate Milk,2,3,1,1.99,15,12,10,5,3,Male,35 - 44 years old,175,Master's Degree,Married or domestic partnership,White,"$150,000 - $199,999",Moderately above average,Moderately above average,More than 56 grams a day,,Sometimes,Make a shake,,Multivitamins,
8/19/19 21:53,8/19/19 21:56,Survey Preview,,100,183,TRUE,8/19/19 21:56,R_z3j3YoERsx9UyaZ,,,,,40.34950256,-111.8998032,preview,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Other:,Water,2,3,1,0,0,0,0,0,0,Male,45 - 54 years old,210,Master's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Moderately above average,Slightly above average,Less than 56 grams a day,,Always,Ingest pills,,Multivitamins,
8/20/19 7:33,8/20/19 7:38,Survey Preview,,100,310,TRUE,8/20/19 7:38,R_Q6v0j2l74ia9pCN,,,,,40.6750946,-111.816597,preview,EN,Yes,Both,Gym,Yes,4-6 times a week,,,60min - 90min,,Neither,,Coke,,1,2,3,2.51,25,20,20,10,5,Female,18 - 24 years old,137,Associate's Degree,Married or domestic partnership,White,"$25,000 - $34,999",Slightly above average,Average,56 grams a day (normal for the average man),,About half the time,"Make a shake,Ingest pills",,"Multivitamins,Other:",Zeal - multivitamin drink suplement
8/20/19 10:09,8/20/19 10:14,Survey Preview,,100,273,TRUE,8/20/19 10:14,R_1QcHWBmWlX0lhex,,,,,34.1394043,-118.2659988,preview,EN,Yes,Gym,,Yes,4-6 times a week,30min - 60min,,,,Neither,,Coke,,,,,2.55,15,15,13,8,4,Male,18 - 24 years old,186,Some college credit,Married or domestic partnership,White,"$50,000 - $74,999",Moderately above average,Far above average,Other:,160-200 grams a day,Most of the time,"Make a shake,Other:",Additional powders / drinks,Other:,Creating monohydrate
8/20/19 10:14,8/20/19 11:27,Survey Preview,,100,4357,TRUE,8/20/19 11:27,R_12FPWNUkE12zY0g,,,,,40.65660095,-111.8907013,preview,EN,Yes,Both,Exercise via other methods,Yes,Once a week,,,Other:,I usually run trails and only go to the gym in the winter months.,Other:,I'm not sure since I prefer water.,Coke,,2,3,1,0.01,1,1,1,1,1,Male,45 - 54 years old,210,Master's Degree,Married or domestic partnership,White,"$150,000 - $199,999",Slightly above average,Average,,,Always,Ingest pills,,"Multivitamins,Other:",Usana CellSentials
8/20/19 11:27,8/20/19 11:33,Survey Preview,,100,319,TRUE,8/20/19 11:33,R_3PRaWqW3hjI42F3,,,,,40.27830505,-111.7198029,preview,EN,Yes,Both,Gym,Yes,2-3 times a week,,,30min - 60min,,Neither,,Other:,Water,2,3,1,0,0,0,0,0,0,Male,25 - 34 years old,260,Master's Degree,Married or domestic partnership,White,"$75,000 - $99,999",Average,Average,,,Sometimes,Ingest pills,,Vitamin C,
8/20/19 12:35,8/20/19 12:39,Survey Preview,,100,244,TRUE,8/20/19 12:39,R_1C88gSESt79pnZq,,,,,37.75100708,-97.8219986,preview,EN,Yes,Exercise via other methods,,,,,,15min - 30min,,,,Other:,water,2,3,1,1,1,1,1,1,1,Male,25 - 34 years old,225,Master's Degree,Married or domestic partnership,White,"$200,000 or more",Slightly below average,Average,56 grams a day (normal for the average man),,Never,,,,
8/20/19 13:40,8/20/19 13:45,Survey Preview,,100,338,TRUE,8/20/19 13:45,R_30dzaLK3hogpXaZ,,,,,33.51570129,-117.7108994,preview,EN,Yes,Gym,,Yes,Daily,60min - 90min,,,,Neither,,Other:,Fruit Juice,2,3,1,1.95,20,20,15,10,5,Male,18 - 24 years old,166,Bachelor's Degree,"Single, never married",White,"Less than $25,000",Moderately above average,Moderately above average,More than 56 grams a day,,Always,"Make a shake,Ingest pills",,"B Vitamins,Calcium,Fish Oil,Iron,Vitamin C,Vitamin D,Zinc,Other:","Magnesium, Creatine"
8/20/19 16:15,8/20/19 16:17,Survey Preview,,100,124,TRUE,8/20/19 16:17,R_1hXZupEJtSMj79S,,,,,40.39419556,-111.8482971,preview,EN,No,,,,,,,,,,,Other:,Water,2,3,1,0,0,0,0,0,0,Male,35 - 44 years old,200,Master's Degree,Married or domestic partnership,White,"$200,000 or more",Slightly above average,Far below average,,,Never,,,,
8/21/19 7:29,8/21/19 7:34,Survey Preview,,100,274,TRUE,8/21/19 7:34,R_3IRBATAjpykD89a,,,,,40.27830505,-111.7198029,preview,EN,Yes,Exercise via other methods,,,,,,15min - 30min,,,,Other:,Dr. Pepper,2,3,1,0.5,0,0,0,0,0,Male,35 - 44 years old,175,Master's Degree,Married or domestic partnership,White,"$75,000 - $99,999",Average,Average,,,Sometimes,Other:,chocolate milk,"Fish Oil,Vitamin C,Zinc",
8/21/19 9:23,8/21/19 9:33,Survey Preview,,100,591,TRUE,8/21/19 9:33,R_8xf5dsl0LB3ea1r,,,,,27.06019592,-82.353302,preview,EN,Yes,Exercise via other methods,,,,,,15min - 30min,,,,Other:,Diet Dr. Pepper,2,3,1,3,30,30,15,10,7,Male,18 - 24 years old,127,Associate's Degree,Married or domestic partnership,White,"Less than $25,000",Slightly below average,Far below average,Less than 56 grams a day,,Never,,,,
8/21/19 9:35,8/21/19 9:40,Survey Preview,,100,266,TRUE,8/21/19 9:40,R_1QtpRpcfyPw5zBo,,,,,40.50840759,-111.8837967,preview,EN,Yes,Gym,,Yes,2-3 times a week,90min - 120min,,,,Neither,,Other:,Mt. Dew,3,2,1,1.99,20,15,10,0,0,Male,35 - 44 years old,260,Master's Degree,Married or domestic partnership,White,"$75,000 - $99,999",Slightly above average,Slightly above average,More than 56 grams a day,,Always,"Make a shake,Ingest pills",,"Fish Oil,Multivitamins",
8/21/19 14:17,8/21/19 14:20,Survey Preview,,100,183,TRUE,8/21/19 14:20,R_2SplWJF4EwvZM3b,,,,,40.2328949,-111.6688004,preview,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Other:,Water,2,3,1,3,9,6,4,1,0,Male,25 - 34 years old,155,Some college credit,Married or domestic partnership,White,"$50,000 - $74,999",Slightly above average,Average,56 grams a day (normal for the average man),,Never,,,,
8/22/19 4:31,8/22/19 4:36,Survey Preview,,100,275,TRUE,8/22/19 4:36,R_1QFc5VWmHrsU2mR,,,,,40.98890686,-111.8937988,preview,EN,No,,,,,,,,,,,Other:,Dr Pepper ,2,3,1,1.75,10,5,1,0,0,Female,35 - 44 years old,130,Master's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Average,Average,Less than 56 grams a day,,Never,,,,
8/22/19 9:02,8/22/19 9:07,Survey Preview,,100,275,TRUE,8/22/19 9:07,R_1FJ3WcENTLOnC24,,,,,40.25840759,-111.6591034,preview,EN,No,,,,,,,,,,,Other:,pibb,2,3,1,2.5,2,1,1,1,1,Male,18 - 24 years old,155,Some college credit,Married or domestic partnership,White,"Less than $25,000",Moderately above average,Moderately above average,56 grams a day (normal for the average man),,Sometimes,Ingest pills,,"B Vitamins,Fish Oil,Multivitamins,Vitamin C",
8/16/19 9:50,8/16/19 9:51,IP Address,190.233.26.87,3,12,FALSE,8/23/19 9:51,R_3m9tAAUcoGuAFOb,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/19 13:47,8/18/19 13:47,IP Address,107.77.202.102,3,2,FALSE,8/25/19 13:47,R_3ixOqQvNrZCaosx,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/19 6:59,8/26/19 7:02,Survey Preview,,100,199,TRUE,8/26/19 7:02,R_3oAYcnTJ41kzVL2,,,,,40.75920105,-111.8874969,preview,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Other:,Water,2,3,1,2.02,20,15,10,8,7,Female,35 - 44 years old,230,Master's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Slightly above average,Slightly below average,,,Always,Ingest pills,,"B Vitamins,Calcium,Iron,Melatonin,Vitamin C,Vitamin D,Zinc",
8/26/19 10:42,8/26/19 10:48,Survey Preview,,100,350,TRUE,8/26/19 10:48,R_3BPZybtKVX24aul,,,,,40.31190491,-111.6959,preview,EN,Yes,Both,Gym,No,2-3 times a week,,,30min - 60min,,Neither,,Other:,water,,,,2.49,15,15,15,15,15,Male,35 - 44 years old,195,Master's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Moderately above average,Moderately above average,56 grams a day (normal for the average man),,Always,Make a shake,,"B Vitamins,Fish Oil,Multivitamins,Vitamin D,Other:","B12, Biotin"
8/26/19 21:06,8/26/19 21:12,Survey Preview,,100,331,TRUE,8/26/19 21:12,R_3RlLu7UqwRJzbP8,,,,,40.39689636,-111.7919006,preview,EN,Yes,Exercise via other methods,,,,,,30min - 60min,,,,Coke,,,,,0,0,0,0,0,0,Female,18 - 24 years old,120,Some college credit,"Single, never married",White,"Less than $25,000",Average,Average,,,Never,,,,
