Gym_preference,Gym_member,Gym_freq,Workout_length,Gym_drink_brands,Drink_preferred,Coke_rank,Pepsi_rank,Other_rank,wtp,quantity,WTP_half,quantity_at_fraction,Gender,Age,Income,Protein_imnport,Protein_intake
Both,Yes,4-6 times a week,30min - 60min,No Cola,Rockstar ,2,3,1,1.99,10,0.995,20,Male,25 - 34 years old,"$25,000 - $34,999",Moderately above average,More than 56 grams a day
Exercise via other methods,,,15min - 30min,,Dr Pepper,2,3,1,1.11,5,0.555,10,Male,35 - 44 years old,"$50,000 - $74,999",Slightly above average,56 grams a day (normal for the average man)
Exercise via other methods,,,30min - 60min,,Chocolate Milk,2,3,1,0,0,0,0,Male,25 - 34 years old,"$35,000 - $49,999",Average,More than 56 grams a day
Both,No,2-3 times a week,60min - 90min,Bai,Chocolate Milk,2,3,1,1.99,15,0.995,30,Male,35 - 44 years old,"$150,000 - $199,999",Moderately above average,More than 56 grams a day
Exercise via other methods,,,30min - 60min,,Water,2,3,1,0,0,0,0,Male,45 - 54 years old,"$100,000 - $149,999",Slightly above average,Less than 56 grams a day
Both,Yes,4-6 times a week,60min - 90min,No Cola,Coke,1,2,3,2.51,25,1.255,50,Female,18 - 24 years old,"$25,000 - $34,999",Average,56 grams a day (normal for the average man)
Gym,Yes,4-6 times a week,30min - 60min,No Cola,Coke,,,,2.55,15,1.275,30,Male,18 - 24 years old,"$50,000 - $74,999",Far above average,160-200 grams a day
Both,Yes,Once a week,,,Coke,2,3,1,0.01,1,0.005,2,Male,45 - 54 years old,"$150,000 - $199,999",Average,
Both,Yes,2-3 times a week,30min - 60min,No Cola,Water,2,3,1,0,0,0,0,Male,25 - 34 years old,"$75,000 - $99,999",Average,
Exercise via other methods,,,15min - 30min,,Water,2,3,1,1,1,0.5,2,Male,25 - 34 years old,"$200,000 or more",Average,56 grams a day (normal for the average man)
Gym,Yes,Daily,60min - 90min,No Cola,Fruit Juice,2,3,1,1.95,20,0.975,40,Male,18 - 24 years old,"Less than $25,000",Moderately above average,More than 56 grams a day
,,,,,Water,2,3,1,0,0,0,0,Male,35 - 44 years old,"$200,000 or more",Far below average,
Exercise via other methods,,,15min - 30min,,Dr Pepper,2,3,1,0.5,0,0.25,0,Male,35 - 44 years old,"$75,000 - $99,999",Average,
Exercise via other methods,,,15min - 30min,,Dr Pepper,2,3,1,3,30,1.5,60,Male,18 - 24 years old,"Less than $25,000",Far below average,Less than 56 grams a day
Gym,Yes,2-3 times a week,90min - 120min,No Cola,Mountain Dew,3,2,1,1.99,20,0.995,40,Male,35 - 44 years old,"$75,000 - $99,999",Slightly above average,More than 56 grams a day
Exercise via other methods,,,30min - 60min,,Water,2,3,1,3,9,1.5,18,Male,25 - 34 years old,"$50,000 - $74,999",Average,56 grams a day (normal for the average man)
,,,,,Dr Pepper,2,3,1,1.75,10,0.875,20,Female,35 - 44 years old,"$100,000 - $149,999",Average,Less than 56 grams a day
,,,,,Pibb,2,3,1,2.5,2,1.25,4,Male,18 - 24 years old,"Less than $25,000",Moderately above average,56 grams a day (normal for the average man)
Exercise via other methods,,,30min - 60min,,Water,2,3,1,2.02,20,1.01,40,Female,35 - 44 years old,"$100,000 - $149,999",Slightly below average,
Both,No,2-3 times a week,30min - 60min,No Cola,Water,,,,2.49,15,1.245,30,Male,35 - 44 years old,"$100,000 - $149,999",Moderately above average,56 grams a day (normal for the average man)
Exercise via other methods,,,30min - 60min,,Coke,,,,0,0,0,0,Female,18 - 24 years old,"Less than $25,000",Average,
